player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Bryce McGowens,2026-01-02,BUY_LOW,0.486,18.5,0.267,19.2,0.459,-45.1,True,PASSED
Bub Carrington,2025-11-21,SELL_HIGH,0.33,26.1,0.414,23.8,0.412,25.6,True,PASSED
Bub Carrington,2025-11-22,SELL_HIGH,0.344,25.5,0.481,21.4,0.341,39.9,True,PASSED
Bub Carrington,2025-12-01,SELL_HIGH,0.353,25.3,0.419,21.2,0.396,18.6,True,PASSED
Bub Carrington,2025-12-02,SELL_HIGH,0.352,25.1,0.412,22.2,0.397,16.8,True,PASSED
Buddy Hield,2025-12-18,SELL_HIGH,0.412,18.8,0.476,21.8,0.476,15.5,False,PASSED
CJ McCollum,2025-11-19,SELL_HIGH,0.394,29.5,0.47,33.0,0.518,19.1,False,PASSED
CJ McCollum,2025-11-28,SELL_HIGH,0.436,29.6,0.537,30.6,0.462,23.1,True,PASSED
CJ McCollum,2025-12-01,SELL_HIGH,0.433,29.7,0.518,30.2,0.471,19.5,True,PASSED
CJ McCollum,2025-12-02,SELL_HIGH,0.44,30.0,0.539,31.2,0.452,22.5,True,PASSED
CJ McCollum,2025-12-04,SELL_HIGH,0.436,29.7,0.511,30.8,0.463,17.2,True,PASSED
CJ McCollum,2025-12-06,SELL_HIGH,0.438,29.8,0.511,31.6,0.482,16.8,True,PASSED
Caleb Love,2025-12-18,SELL_HIGH,0.34,17.8,0.4,18.6,0.4,17.8,False,PASSED
Cam Spencer,2025-12-02,SELL_HIGH,0.464,20.4,0.591,23.6,0.681,27.5,False,PASSED
Cam Spencer,2025-12-05,SELL_HIGH,0.478,20.5,0.619,23.2,0.579,29.5,True,PASSED
Cam Spencer,2025-12-07,SELL_HIGH,0.488,20.8,0.628,23.2,0.526,28.6,True,PASSED
Cam Whitmore,2025-11-25,SELL_HIGH,0.492,17.2,0.585,18.6,0.349,19.0,True,PASSED
Cameron Johnson,2025-11-21,SELL_HIGH,0.418,26.0,0.5,25.2,0.577,19.5,False,PASSED
Cameron Johnson,2025-11-22,SELL_HIGH,0.413,26.4,0.486,26.2,0.554,17.5,False,PASSED
Cameron Johnson,2025-11-24,SELL_HIGH,0.435,27.1,0.55,29.2,0.519,26.5,True,PASSED
Caris LeVert,2025-11-22,SELL_HIGH,0.507,19.6,0.615,20.4,0.436,21.3,True,PASSED
Caris LeVert,2025-11-24,SELL_HIGH,0.493,19.0,0.59,19.0,0.372,19.5,True,PASSED
Caris LeVert,2025-12-05,BUY_LOW,0.449,20.5,0.372,23.8,0.516,-17.2,True,PASSED
Caris LeVert,2025-12-06,BUY_LOW,0.458,20.2,0.361,22.4,0.452,-21.2,True,PASSED
Caris LeVert,2025-12-12,BUY_LOW,0.464,20.3,0.394,22.0,0.324,-15.1,False,PASSED
Caris LeVert,2025-12-23,BUY_LOW,0.434,20.5,0.324,21.0,0.464,-25.4,True,PASSED
Cason Wallace,2025-11-19,BUY_LOW,0.406,29.0,0.316,27.4,0.55,-22.2,True,PASSED
Cason Wallace,2025-11-30,SELL_HIGH,0.445,28.9,0.55,28.8,0.448,23.5,True,PASSED
Cason Wallace,2025-12-22,BUY_LOW,0.425,27.7,0.357,25.4,0.432,-15.9,True,PASSED
Cason Wallace,2025-12-23,BUY_LOW,0.423,27.8,0.355,26.2,0.441,-16.1,True,PASSED
Cason Wallace,2025-12-25,BUY_LOW,0.42,27.7,0.281,27.4,0.438,-33.1,True,PASSED
Cason Wallace,2025-12-28,BUY_LOW,0.411,27.5,0.219,26.2,0.519,-46.8,True,PASSED
Cason Wallace,2025-12-29,BUY_LOW,0.414,27.4,0.312,25.6,0.44,-24.6,True,PASSED
Cedric Coward,2025-11-15,BUY_LOW,0.484,26.8,0.352,28.4,0.415,-27.3,True,PASSED
Cedric Coward,2025-11-18,BUY_LOW,0.478,26.7,0.385,27.6,0.436,-19.5,True,PASSED
Cedric Coward,2025-11-20,BUY_LOW,0.477,26.7,0.351,27.2,0.4,-26.4,True,PASSED
Cedric Coward,2025-11-22,BUY_LOW,0.481,26.6,0.397,26.4,0.354,-17.6,False,PASSED
Cedric Coward,2025-11-24,BUY_LOW,0.468,26.5,0.39,25.4,0.36,-16.7,False,PASSED
Cedric Coward,2025-12-02,BUY_LOW,0.452,27.2,0.354,29.2,0.492,-21.7,True,PASSED
Cedric Coward,2025-12-05,BUY_LOW,0.444,27.3,0.36,30.0,0.516,-18.9,True,PASSED
Chet Holmgren,2025-11-30,BUY_LOW,0.552,29.4,0.468,28.8,0.667,-15.2,True,PASSED
Chet Holmgren,2025-12-02,BUY_LOW,0.555,29.5,0.452,28.6,0.644,-18.6,True,PASSED
Chet Holmgren,2025-12-28,BUY_LOW,0.563,28.7,0.469,28.8,0.65,-16.6,True,PASSED
