player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Brandon Williams,2025-12-23,SELL_HIGH,0.398,21.9,0.512,23.2,0.564,28.8,False,UNFILTERED
Brandon Williams,2025-12-29,SELL_HIGH,0.412,21.9,0.5,22.4,0.519,21.4,False,UNFILTERED
Brice Sensabaugh,2025-12-12,BUY_LOW,0.408,15.7,0.3,14.8,0.463,-26.4,True,UNFILTERED
Brice Sensabaugh,2025-12-20,SELL_HIGH,0.424,16.0,0.517,14.8,0.417,22.1,True,UNFILTERED
Brook Lopez,2025-11-16,SELL_HIGH,0.423,15.5,0.542,14.8,0.348,28.2,True,UNFILTERED
Brook Lopez,2025-11-17,SELL_HIGH,0.425,15.4,0.55,14.0,0.308,29.5,True,UNFILTERED
Brook Lopez,2025-12-11,BUY_LOW,0.394,14.2,0.308,11.2,0.485,-21.9,True,UNFILTERED
Brook Lopez,2025-12-18,BUY_LOW,0.39,14.2,0.273,11.0,0.487,-30.1,True,UNFILTERED
Brook Lopez,2025-12-20,BUY_LOW,0.394,14.2,0.318,12.8,0.432,-19.3,True,UNFILTERED
Brook Lopez,2025-12-28,SELL_HIGH,0.417,16.0,0.485,22.6,0.211,16.4,True,UNFILTERED
Brook Lopez,2025-12-30,SELL_HIGH,0.417,16.9,0.487,27.2,0.179,16.8,True,UNFILTERED
Bruce Brown,2025-11-24,BUY_LOW,0.424,23.0,0.355,25.6,0.395,-16.3,True,UNFILTERED
Bruce Brown,2025-12-01,BUY_LOW,0.395,23.3,0.297,24.4,0.536,-24.7,True,UNFILTERED
Bruce Brown,2025-12-03,BUY_LOW,0.39,23.1,0.263,24.2,0.591,-32.6,True,UNFILTERED
Bruce Brown,2025-12-11,SELL_HIGH,0.423,23.5,0.517,25.0,0.556,22.2,False,UNFILTERED
Bruce Brown,2025-12-15,SELL_HIGH,0.423,23.6,0.536,24.8,0.632,26.8,False,UNFILTERED
Bruce Brown,2025-12-18,SELL_HIGH,0.421,23.7,0.591,26.2,0.619,40.5,False,UNFILTERED
Bruce Brown,2025-12-23,SELL_HIGH,0.451,24.4,0.556,28.4,0.645,23.2,False,UNFILTERED
Bruce Brown,2025-12-25,SELL_HIGH,0.467,24.4,0.632,28.4,0.5,35.3,True,UNFILTERED
Bruce Brown,2025-12-27,SELL_HIGH,0.465,24.5,0.619,28.6,0.458,33.1,True,UNFILTERED
Bruce Brown,2025-12-29,SELL_HIGH,0.463,24.6,0.647,27.2,0.5,39.7,True,UNFILTERED
