player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
Bruce Brown,2025-12-15,SELL_HIGH,0.423,0.536,0.632,26.8,False,1.85
Bruce Brown,2025-12-18,SELL_HIGH,0.421,0.591,0.619,40.5,False,1.17
Bruce Brown,2025-12-23,SELL_HIGH,0.451,0.556,0.645,23.2,False,1.86
Bruce Brown,2025-12-25,SELL_HIGH,0.467,0.632,0.5,35.3,True,0.2
Bruce Brown,2025-12-27,SELL_HIGH,0.465,0.619,0.458,33.1,True,0.04
Bruce Brown,2025-12-29,SELL_HIGH,0.463,0.647,0.5,39.7,True,0.2
Bruce Brown,2025-12-31,SELL_HIGH,0.477,0.686,0.387,43.6,True,0.43
Bruce Brown,2026-01-02,SELL_HIGH,0.48,0.645,0.31,34.3,True,1.03
Bryce McGowens,2025-12-23,SELL_HIGH,0.522,0.654,0.32,25.3,True,1.53
Bryce McGowens,2025-12-26,SELL_HIGH,0.515,0.6,0.394,16.5,True,1.43
Bryce McGowens,2026-01-02,BUY_LOW,0.486,0.267,0.459,-45.1,True,0.12
Bub Carrington,2025-11-21,SELL_HIGH,0.33,0.414,0.412,25.6,True,0.98
Bub Carrington,2025-11-22,SELL_HIGH,0.344,0.481,0.341,39.9,True,0.02
Bub Carrington,2025-11-25,SELL_HIGH,0.343,0.414,0.317,20.6,True,0.37
Bub Carrington,2025-11-28,SELL_HIGH,0.361,0.464,0.317,28.6,True,0.43
Bub Carrington,2025-12-01,SELL_HIGH,0.353,0.419,0.396,18.6,True,0.65
Bub Carrington,2025-12-02,SELL_HIGH,0.352,0.412,0.397,16.8,True,0.74
Bub Carrington,2025-12-20,SELL_HIGH,0.375,0.448,0.524,19.5,False,2.03
Bub Carrington,2025-12-21,SELL_HIGH,0.374,0.467,0.564,24.6,False,2.06
Bub Carrington,2025-12-23,SELL_HIGH,0.388,0.477,0.524,23.0,False,1.53
Buddy Hield,2025-12-18,SELL_HIGH,0.412,0.476,0.476,15.5,False,1.0
Buddy Hield,2025-12-28,SELL_HIGH,0.416,0.5,0.435,20.1,True,0.22
CJ McCollum,2025-11-19,SELL_HIGH,0.394,0.47,0.518,19.1,False,1.64
CJ McCollum,2025-11-28,SELL_HIGH,0.436,0.537,0.462,23.1,True,0.26
CJ McCollum,2025-12-01,SELL_HIGH,0.433,0.518,0.471,19.5,True,0.45
